listing_id;available;count
2818;f;241
2818;t;124
20168;f;365
25428;f;308
25428;t;57
27886;f;299
27886;t;66
28871;f;67
28871;t;298
29051;f;52
29051;t;313
30431;f;217
30431;t;148
41125;f;365
43980;f;361
43980;t;4
44391;f;365
47061;f;80
47061;t;285
49552;f;165
49552;t;200
49790;f;169
49790;t;196
50515;f;107
50515;t;258
50523;f;28
50523;t;337
52490;f;365
53671;f;365
55621;f;365
55868;f;365
62015;f;116
62015;t;249
62801;f;365
64736;f;365
67841;f;365
70598;f;365
75382;f;365
75444;f;365
75499;f;66
75499;t;299
76459;f;365
76668;f;365
80635;f;336
80635;t;29
82482;f;48
82482;t;317
82748;f;17
82748;t;348
85008;f;56
85008;t;309
91535;f;365
97221;f;11
97221;t;354
97476;f;347
97476;t;18
104800;f;350
104800;t;15
108890;f;365
110246;f;37
110246;t;328
130390;f;365
137026;f;255
137026;t;110
141708;f;365
148132;f;365
150634;f;12
150634;t;353
155548;f;365
162467;f;116
162467;t;249
165833;f;363
165833;t;2
168769;f;320
168769;t;45
169356;f;203
169356;t;162
171054;f;365
171631;f;9
171631;t;356
174592;f;365
179528;f;60
179528;t;305
182839;f;365
188347;f;365
189754;f;154
189754;t;211
190943;f;365
193038;f;157
193038;t;208
199844;f;365
203658;f;365
205759;f;365
212050;f;139
212050;t;226
213371;f;298
213371;t;67
213721;f;365
214531;f;177
214531;t;188
219276;f;45
219276;t;320
222516;f;365
230710;f;365
245927;f;43
245927;t;322
247805;f;1
247805;t;364
250751;f;365
252080;f;365
254104;t;365
254800;f;88
254800;t;277
255809;f;44
255809;t;321
256670;f;365
258273;t;365
262394;f;365
265349;f;147
265349;t;218
272597;f;365
274688;f;355
274688;t;10
277011;f;365
282269;f;365
283170;f;178
283170;t;187
286500;f;143
286500;t;222
290701;f;136
290701;t;229
291637;f;365
291752;t;365
293337;f;7
293337;t;358
293514;f;365
301220;f;365
302426;f;365
304082;f;42
304082;t;323
304143;f;365
304189;f;268
304189;t;97
305809;f;2
305809;t;363
306852;f;192
306852;t;173
307497;f;76
307497;t;289
307621;f;365
308028;f;221
308028;t;144
310722;f;365
311124;f;7
311124;t;358
311584;f;365
319985;f;147
319985;t;218
320689;f;365
327285;f;365
331946;f;365
340994;f;365
343094;f;246
343094;t;119
345397;f;365
350271;f;7
350271;t;358
357932;f;2
357932;t;363
357980;f;347
357980;t;18
361342;f;286
361342;t;79
362458;f;365
366438;f;220
366438;t;145
367107;f;365
367491;f;365
378523;f;60
378523;t;305
379885;f;251
379885;t;114
387644;f;365
396125;f;365
408794;f;236
408794;t;129
414865;f;329
414865;t;36
414917;f;7
414917;t;358
415619;f;83
415619;t;282
418098;f;365
422044;f;279
422044;t;86
431635;f;365
432233;f;2
432233;t;363
437757;f;364
437757;t;1
439097;f;365
440992;f;297
440992;t;68
441424;f;311
441424;t;54
444935;f;365
445660;f;78
445660;t;287
446592;f;54
446592;t;311
447151;f;365
450767;f;49
450767;t;316
451719;f;64
451719;t;301
460469;f;365
462341;f;365
467103;f;365
480245;f;365
481664;f;291
