DataElement,LevelOfMeasurement,DataType
id,Nominal,integer
listing_url,Nominal,string
scrape_id,Nominal,integer
last_scraped,Ordinal,date
name,Nominal,string
description,Nominal,string
neighborhood_overview,Nominal,string
picture_url,Nominal,string
host_id,Nominal,integer
host_url,Nominal,string
host_name,Nominal,string
host_since,Nominal,date
host_location,Nominal,string
host_about,Nominal,string
host_response_time,Interval,string
host_response_rate,Ratio,integer
host_acceptance_rate,Ratio,integer
host_is_superhost,Binary,boolean
host_thumbnail_url,Nominal,string
host_picture_url,Nominal,string
host_neighbourhood,Nominal,string
host_listings_count,Ratio,integer
host_total_listings_count,Ratio,integer
host_verifications,Nominal,string
host_has_profile_pic,Binary,boolean
host_identity_verified,Binary,boolean
neighbourhood,Nominal,string
neighbourhood_cleansed,Nominal,string
neighbourhood_group_cleansed,nominal,
latitude,Ratio,float
longitude,Ratio,float
property_type,Nominal,string
room_type,Nominal,string
accommodates,Ratio,integer
bathrooms,,
bathrooms_text,Nominal,string
bedrooms,Ratio,integer
beds,Ratio,integer
amenities,Nominal,string
price,Ratio,integer
minimum_nights,Ratio,integer
maximum_nights,Ratio,integer
minimum_minimum_nights,Ratio,integer
maximum_minimum_nights,Ratio,integer
minimum_maximum_nights,Ratio,integer
maximum_maximum_nights,Ratio,integer
minimum_nights_avg_ntm,Ratio,integer
maximum_nights_avg_ntm,Ratio,integer
calendar_updated,,
has_availability,Binary,boolean
availability_30,Ratio,integer
availability_60,Ratio,integer
availability_90,Ratio,integer
availability_365,Ratio,integer
calendar_last_scraped,Ordinal,date
number_of_reviews,Ratio,integer
number_of_reviews_ltm,Ratio,integer
number_of_reviews_l30d,Ratio,integer
first_review,Ordinal,date
last_review,Ordinal,date
review_scores_rating,Ratio,float
review_scores_accuracy,Ordinal,float
review_scores_cleanliness,Ordinal,float
review_scores_checkin,Ordinal,float
review_scores_communication,Ordinal,float
review_scores_location,Ordinal,float
review_scores_value,Ordinal,float
license,Nominal,string
instant_bookable,Binary,boolean
calculated_host_listings_count,Ratio,integer
calculated_host_listings_count_entire_homes,Ratio,integer
calculated_host_listings_count_private_rooms,Ratio,integer
calculated_host_listings_count_shared_rooms,Ratio,integer
reviews_per_month,Ratio,float
