outcome,outcome_type,x1,x2,model,interaction_p,r2,n,significant
price,numeric,accommodates,beds,OLS_interaction,2.220984132280481e-15,0.09117696816258736,16019,True
price,numeric,accommodates,bedrooms,OLS_interaction,1.4987125148485476e-19,0.08406117067372698,15218,True
price,numeric,accommodates,availability_60,OLS_interaction,1.6669310975007471e-10,0.09710408934865067,16116,True
price,numeric,accommodates,availability_30,OLS_interaction,1.9442288707628555e-08,0.09657593981363155,16116,True
price,numeric,accommodates,availability_90,OLS_interaction,5.489048955831628e-06,0.09445233800537822,16116,True
price,numeric,beds,bedrooms,OLS_interaction,7.480382524679668e-23,0.07213121037796599,15151,True
price,numeric,beds,availability_60,OLS_interaction,3.7298996088650555e-05,0.07144198555453096,16019,True
price,numeric,beds,availability_30,OLS_interaction,8.044917500311242e-06,0.07179477129670198,16019,True
price,numeric,beds,availability_90,OLS_interaction,0.3958344730223404,0.06878221509961635,16019,False
price,numeric,bedrooms,availability_60,OLS_interaction,1.5306150320521706e-31,0.08021733978488266,15218,True
price,numeric,bedrooms,availability_30,OLS_interaction,3.4105601286618764e-29,0.07981376666887685,15218,True
price,numeric,bedrooms,availability_90,OLS_interaction,2.0157309178739519e-22,0.07611567190348156,15218,True
price,numeric,availability_60,availability_30,OLS_interaction,1.5264615426370395e-11,0.018080162702932112,16116,True
price,numeric,availability_60,availability_90,OLS_interaction,1.2460175183777326e-08,0.01736792141520116,16116,True
price,numeric,availability_30,availability_90,OLS_interaction,3.4747283535242684e-11,0.01780519863867025,16116,True
review_scores_rating,numeric,review_scores_accuracy,review_scores_value,OLS_interaction,0.04575298142018615,0.6545011105215632,13806,True
review_scores_rating,numeric,review_scores_accuracy,review_scores_cleanliness,OLS_interaction,1.3492870489890685e-30,0.6505533214308161,13814,True
review_scores_rating,numeric,review_scores_accuracy,review_scores_communication,OLS_interaction,7.0335988483840205e-68,0.6104065500858,13811,True
review_scores_rating,numeric,review_scores_accuracy,review_scores_checkin,OLS_interaction,7.448268340868868e-101,0.5937138347383254,13807,True
review_scores_rating,numeric,review_scores_accuracy,review_scores_location,OLS_interaction,2.6951530495407288e-21,0.5659029531756657,13806,True
review_scores_rating,numeric,review_scores_value,review_scores_cleanliness,OLS_interaction,1.8014207199006666e-42,0.6448476024492416,13805,True
review_scores_rating,numeric,review_scores_value,review_scores_communication,OLS_interaction,6.5461195480175484e-15,0.6038235809211856,13806,True
review_scores_rating,numeric,review_scores_value,review_scores_checkin,OLS_interaction,0.7057704408625458,0.5821998571762407,13806,False
review_scores_rating,numeric,review_scores_value,review_scores_location,OLS_interaction,0.5525633333229267,0.5328735720675832,13806,False
review_scores_rating,numeric,review_scores_cleanliness,review_scores_communication,OLS_interaction,1.7594672175834767e-15,0.6192446361363787,13810,True
review_scores_rating,numeric,review_scores_cleanliness,review_scores_checkin,OLS_interaction,3.1128485232027187e-28,0.5789928119746668,13806,True
review_scores_rating,numeric,review_scores_cleanliness,review_scores_location,OLS_interaction,0.0017790639416696498,0.5351265437558504,13805,True
review_scores_rating,numeric,review_scores_communication,review_scores_checkin,OLS_interaction,2.634876934056204e-19,0.4508039943034905,13806,True
review_scores_rating,numeric,review_scores_communication,review_scores_location,OLS_interaction,2.345055303840772e-46,0.4442729855492106,13807,True
review_scores_rating,numeric,review_scores_checkin,review_scores_location,OLS_interaction,2.7080170033835476e-07,0.37069336787284135,13806,True
availability_365,numeric,availability_90,availability_60,OLS_interaction,3.885251555158256e-32,0.6302050579348779,16116,True
availability_365,numeric,availability_90,availability_30,OLS_interaction,1.2631065937429556e-27,0.624333048766681,16116,True
availability_365,numeric,availability_90,calculated_host_listings_count_private_rooms,OLS_interaction,6.222957395516478e-05,0.6218429355733539,16116,True
availability_365,numeric,availability_90,number_of_reviews,OLS_interaction,0.11123565153903246,0.6244285020091074,16116,False
availability_365,numeric,availability_90,reviews_per_month,OLS_interaction,3.013321968618966e-10,0.6210592066940674,14029,True
availability_365,numeric,availability_60,availability_30,OLS_interaction,8.957799726130034e-69,0.587292724566203,16116,True
availability_365,numeric,availability_60,calculated_host_listings_count_private_rooms,OLS_interaction,0.8977210186780393,0.5760925727807503,16116,False
availability_365,numeric,availability_60,number_of_reviews,OLS_interaction,0.00033226865833212144,0.5832742005157245,16116,True
availability_365,numeric,availability_60,reviews_per_month,OLS_interaction,1.5964373615325025e-23,0.5770190639888519,14029,True
availability_365,numeric,availability_30,calculated_host_listings_count_private_rooms,OLS_interaction,1.1711370973157163e-07,0.5055168430562389,16116,True
availability_365,numeric,availability_30,number_of_reviews,OLS_interaction,3.910515781531169e-07,0.5164957432700092,16116,True
availability_365,numeric,availability_30,reviews_per_month,OLS_interaction,8.805410226048386e-47,0.5089161258536052,14029,True
availability_365,numeric,calculated_host_listings_count_private_rooms,number_of_reviews,OLS_interaction,0.0006637193156091098,0.12325160265927204,16116,True
availability_365,numeric,calculated_host_listings_count_private_rooms,reviews_per_month,OLS_interaction,7.549126321219549e-69,0.13472800580470345,14029,True
availability_365,numeric,number_of_reviews,reviews_per_month,OLS_interaction,1.1297079179516826e-69,0.11837354647353027,14029,True
